0,885.067
1,803.083
2,734.966
3,677.129
4,611.449
5,556.726
6,494.821
7,458.478
8,415.586
9,378.529
10,339.618
11,326.465
12,279.616
13,273.469
14,248.567
15,223.862
16,210.67
17,195.711
18,176.816
19,158.637
20,159.186
21,154.559
22,147.815
23,135.782
24,134.827
25,129.862
26,122.082
27,116.134
28,106.08
29,106.016
30,103.626
31,104.033
32,91.5168
33,89.8908
34,89.1702
35,84.0014
36,82.4649
37,80.0179
38,75.0798
39,80.0213
40,78.9986
41,75.2016
42,75.308
43,68.6762
44,69.8981
45,67.5127
46,67.8102
47,67.6377
48,63.8233
49,63.0798
50,59.3083
51,61.7398
52,58.1683
53,61.2255
54,54.1369
55,56.7838
56,54.8569
57,53.788
58,55.1653
59,53.6527
60,51.9777
61,50.2756
62,49.9538
63,48.0018
64,47.6927
65,44.8658
66,44.8369
67,46.0418
68,45.6737
69,46.9152
70,43.1263
71,45.3516
72,47.7769
73,40.5845
74,47.2696
75,45.689
76,44.6958
77,39.7354
78,40.9583
79,43.0463
80,39.5627
81,42.382
82,38.1982
83,37.6247
84,44.4669
85,42.8862
86,39.1207
87,37.2055
88,38.8927
89,37.8276
90,37.6159
91,36.9457
92,34.8839
93,39.7132
94,35.1364
95,38.8318
96,38.7071
97,33.5054
98,36.9343
99,36.9882
